tech,year,patents
Actuation & Joints,2012,33.166666666666664
Actuation & Joints,2013,43.166666666666664
Actuation & Joints,2014,48.5
Actuation & Joints,2015,84.33333333333331
Actuation & Joints,2016,123.66666666666656
Actuation & Joints,2017,74.5
Actuation & Joints,2018,121.49999999999997
Actuation & Joints,2019,94.83333333333334
Actuation & Joints,2020,148.99999999999994
Actuation & Joints,2021,119.99999999999993
Actuation & Joints,2022,181.66666666666669
Actuation & Joints,2023,108.33333333333333
Actuation & Joints,2024,132.0
Actuation & Joints,2025,54.33333333333334
Human-Robot Interaction,1978,0.0
Human-Robot Interaction,1979,0.0
Human-Robot Interaction,1980,0.0
Human-Robot Interaction,1981,0.0
Human-Robot Interaction,1982,0.0
Human-Robot Interaction,1983,0.0
Human-Robot Interaction,1984,0.0
Human-Robot Interaction,1985,0.0
Human-Robot Interaction,1986,0.0
Human-Robot Interaction,1987,0.0
Human-Robot Interaction,1988,0.0
Human-Robot Interaction,1989,0.0
Human-Robot Interaction,1990,0.0
Human-Robot Interaction,1991,1.0
Human-Robot Interaction,1992,0.0
Human-Robot Interaction,1993,1.0
Human-Robot Interaction,1994,0.0
Human-Robot Interaction,1995,0.6666666666666666
Human-Robot Interaction,1996,1.1666666666666665
Human-Robot Interaction,1997,1.8333333333333333
Human-Robot Interaction,1998,5.166666666666667
Human-Robot Interaction,1999,11.0
Human-Robot Interaction,2000,3.0
Human-Robot Interaction,2001,20.66666666666666
Human-Robot Interaction,2002,18.0
Human-Robot Interaction,2003,15.500000000000004
Human-Robot Interaction,2004,26.33333333333332
Human-Robot Interaction,2005,15.500000000000004
Human-Robot Interaction,2006,20.333333333333325
Human-Robot Interaction,2007,14.000000000000002
Human-Robot Interaction,2008,28.83333333333333
Human-Robot Interaction,2009,11.666666666666671
Human-Robot Interaction,2010,46.0
Human-Robot Interaction,2011,6.833333333333333
Human-Robot Interaction,2012,39.00000000000002
Human-Robot Interaction,2013,32.499999999999986
Human-Robot Interaction,2014,32.5
Human-Robot Interaction,2015,47.833333333333364
Human-Robot Interaction,2016,117.4999999999999
Human-Robot Interaction,2017,157.00000000000009
Human-Robot Interaction,2018,188.0000000000001
Human-Robot Interaction,2019,199.16666666666674
Human-Robot Interaction,2020,249.5000000000001
Human-Robot Interaction,2021,199.83333333333357
Human-Robot Interaction,2022,159.33333333333346
Human-Robot Interaction,2023,129.16666666666663
Human-Robot Interaction,2024,101.83333333333331
Human-Robot Interaction,2025,70.50000000000003
AI & Learning,1978,0.0
AI & Learning,1979,0.0
AI & Learning,1980,0.0
AI & Learning,1981,0.0
AI & Learning,1982,0.0
AI & Learning,1983,0.0
AI & Learning,1984,0.0
AI & Learning,1985,0.0
AI & Learning,1986,0.0
AI & Learning,1987,0.0
AI & Learning,1988,0.0
AI & Learning,1989,0.0
AI & Learning,1990,0.0
AI & Learning,1991,0.0
AI & Learning,1992,0.0
AI & Learning,1993,0.0
AI & Learning,1994,0.0
AI & Learning,1995,0.0
AI & Learning,1996,0.0
AI & Learning,1997,0.0
AI & Learning,1998,0.3333333333333333
AI & Learning,1999,0.0
AI & Learning,2000,0.0
AI & Learning,2001,0.8333333333333333
AI & Learning,2002,0.0
AI & Learning,2003,0.8333333333333333
AI & Learning,2004,1.9999999999999998
AI & Learning,2005,1.0
AI & Learning,2006,3.166666666666667
AI & Learning,2007,0.0
AI & Learning,2008,1.5
AI & Learning,2009,0.0
AI & Learning,2010,0.0
AI & Learning,2011,12.0
AI & Learning,2012,11.666666666666668
AI & Learning,2013,1.4999999999999998
AI & Learning,2014,1.5
AI & Learning,2015,5.166666666666666
AI & Learning,2016,15.666666666666668
AI & Learning,2017,10.5
AI & Learning,2018,31.33333333333332
AI & Learning,2019,32.666666666666664
AI & Learning,2020,25.5
AI & Learning,2021,42.66666666666667
AI & Learning,2022,42.16666666666667
AI & Learning,2023,35.83333333333333
AI & Learning,2024,47.500000000000014
AI & Learning,2025,61.000000000000036
Communication,1978,0.0
Communication,1979,0.0
Communication,1980,0.0
Communication,1981,0.0
Communication,1982,0.0
Communication,1983,0.0
Communication,1984,0.0
Communication,1985,0.0
Communication,1986,0.0
Communication,1987,0.0
Communication,1988,0.0
Communication,1989,1.0
Communication,1990,1.0
Communication,1991,1.1666666666666665
Communication,1992,0.0
Communication,1993,3.0
Communication,1994,1.3333333333333333
Communication,1995,0.5
Communication,1996,1.8333333333333333
Communication,1997,9.333333333333332
Communication,1998,4.333333333333333
Communication,1999,3.166666666666667
Communication,2000,4.333333333333334
Communication,2001,15.166666666666673
Communication,2002,20.166666666666657
Communication,2003,5.333333333333332
Communication,2004,17.83333333333334
Communication,2005,15.333333333333332
Communication,2006,30.166666666666647
Communication,2007,41.16666666666668
Communication,2008,9.333333333333336
Communication,2009,12.666666666666668
Communication,2010,24.33333333333333
Communication,2011,13.833333333333336
Communication,2012,35.833333333333336
Communication,2013,50.666666666666686
Communication,2014,42.833333333333336
Communication,2015,54.666666666666686
Communication,2016,47.83333333333334
Communication,2017,74.16666666666667
Communication,2018,80.00000000000001
Communication,2019,70.16666666666669
Communication,2020,141.83333333333326
Communication,2021,94.83333333333333
Communication,2022,95.49999999999997
Communication,2023,63.16666666666667
Communication,2024,57.33333333333335
Communication,2025,28.33333333333333
Safety & Reliability,1978,0.0
Safety & Reliability,1979,0.0
Safety & Reliability,1980,0.0
Safety & Reliability,1981,0.0
Safety & Reliability,1982,0.0
Safety & Reliability,1983,0.0
Safety & Reliability,1984,0.0
Safety & Reliability,1985,0.0
Safety & Reliability,1986,0.0
Safety & Reliability,1987,0.0
Safety & Reliability,1988,0.0
Safety & Reliability,1989,0.0
Safety & Reliability,1990,0.0
Safety & Reliability,1991,0.3333333333333333
Safety & Reliability,1992,0.6666666666666666
Safety & Reliability,1993,0.0
Safety & Reliability,1994,0.0
Safety & Reliability,1995,0.0
Safety & Reliability,1996,2.333333333333333
Safety & Reliability,1997,1.4999999999999998
Safety & Reliability,1998,1.3333333333333333
Safety & Reliability,1999,5.833333333333333
Safety & Reliability,2000,5.666666666666665
Safety & Reliability,2001,3.5000000000000004
Safety & Reliability,2002,7.666666666666666
Safety & Reliability,2003,3.5
Safety & Reliability,2004,19.0
Safety & Reliability,2005,9.666666666666666
Safety & Reliability,2006,17.0
Safety & Reliability,2007,9.333333333333332
Safety & Reliability,2008,13.66666666666667
Safety & Reliability,2009,10.0
Safety & Reliability,2010,16.166666666666668
Safety & Reliability,2011,10.333333333333334
Safety & Reliability,2012,15.500000000000002
Safety & Reliability,2013,14.000000000000002
Safety & Reliability,2014,19.0
Safety & Reliability,2015,32.66666666666666
Safety & Reliability,2016,34.49999999999999
Safety & Reliability,2017,51.83333333333334
Safety & Reliability,2018,39.49999999999999
Safety & Reliability,2019,57.50000000000003
Safety & Reliability,2020,65.33333333333333
Safety & Reliability,2021,57.33333333333337
Safety & Reliability,2022,61.66666666666668
Safety & Reliability,2023,36.83333333333333
Safety & Reliability,2024,48.50000000000002
Safety & Reliability,2025,16.333333333333332
Manufacturing & Processing,1978,0.0
Manufacturing & Processing,1979,0.0
Manufacturing & Processing,1980,0.0
Manufacturing & Processing,1981,0.0
Manufacturing & Processing,1982,0.0
Manufacturing & Processing,1983,0.0
Manufacturing & Processing,1984,0.0
Manufacturing & Processing,1985,0.0
Manufacturing & Processing,1986,3.0
Manufacturing & Processing,1987,0.5
Manufacturing & Processing,1988,0.0
Manufacturing & Processing,1989,0.0
Manufacturing & Processing,1990,1.4999999999999998
Manufacturing & Processing,1991,6.499999999999999
Manufacturing & Processing,1992,5.999999999999999
Manufacturing & Processing,1993,7.999999999999999
Manufacturing & Processing,1994,14.000000000000004
Manufacturing & Processing,1995,5.833333333333333
Manufacturing & Processing,1996,18.666666666666664
Manufacturing & Processing,1997,8.666666666666668
Manufacturing & Processing,1998,52.666666666666686
Manufacturing & Processing,1999,63.333333333333336
Manufacturing & Processing,2000,98.83333333333329
Manufacturing & Processing,2001,97.66666666666664
Manufacturing & Processing,2002,137.6666666666666
Manufacturing & Processing,2003,151.6666666666667
Manufacturing & Processing,2004,116.83333333333327
Manufacturing & Processing,2005,82.83333333333331
Manufacturing & Processing,2006,88.49999999999997
Manufacturing & Processing,2007,142.16666666666663
Manufacturing & Processing,2008,100.16666666666664
Manufacturing & Processing,2009,150.50000000000003
Manufacturing & Processing,2010,169.33333333333337
Manufacturing & Processing,2011,125.83333333333324
Manufacturing & Processing,2012,234.66666666666669
Manufacturing & Processing,2013,335.16666666666663
Manufacturing & Processing,2014,307.5
Manufacturing & Processing,2015,370.8333333333329
Manufacturing & Processing,2016,452.8333333333326
Manufacturing & Processing,2017,532.833333333333
Manufacturing & Processing,2018,864.1666666666677
Manufacturing & Processing,2019,806.5000000000006
Manufacturing & Processing,2020,1141.166666666667
Manufacturing & Processing,2021,992.5000000000013
Manufacturing & Processing,2022,921.1666666666678
Manufacturing & Processing,2023,738.166666666667
Manufacturing & Processing,2024,664.3333333333334
Manufacturing & Processing,2025,295.8333333333334
